Latitude (decimal degrees):	44.852
Longitude (decimal degrees):	11.207
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: 0 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230415:2010,0.0,0.0,0.0,0.0,0.0,11.53,3.66,0.0
20230415:2110,0.0,0.0,0.0,0.0,0.0,10.71,3.59,0.0
20230415:2210,0.0,0.0,0.0,0.0,0.0,10.0,3.24,0.0
20230415:2310,0.0,0.0,0.0,0.0,0.0,9.65,2.83,0.0
20230416:0010,0.0,0.0,0.0,0.0,0.0,9.8,2.14,0.0
20230416:0110,0.0,0.0,0.0,0.0,0.0,9.68,1.66,0.0
20230416:0210,0.0,0.0,0.0,0.0,0.0,9.53,1.45,0.0
20230416:0310,0.0,0.0,0.0,0.0,0.0,9.34,1.72,0.0
20230416:0410,0.0,0.0,0.0,0.0,0.0,9.07,2.07,0.0
20230416:0510,94.86,0.0,30.53,0.83,6.3,8.7,2.21,0.0
20230416:0610,976.14,147.15,78.02,5.65,16.91,9.68,2.21,0.0
20230416:0710,2251.08,338.27,123.15,9.75,27.42,11.65,2.41,0.0
20230416:0810,3319.08,540.83,151.13,13.61,37.4,13.38,2.48,0.0
20230416:0910,4073.94,721.39,163.06,16.79,46.15,14.86,2.34,0.0
20230416:1010,4494.24,815.57,181.24,18.62,52.59,16.06,2.76,0.0
20230416:1110,4636.26,835.79,195.33,19.18,55.27,16.78,3.24,0.0
20230416:1210,4580.64,838.55,176.11,18.91,53.3,17.34,3.45,0.0
20230416:1310,4172.4,743.01,164.74,17.17,47.35,17.49,3.38,0.0
20230416:1410,3372.78,547.07,163.32,13.9,38.87,17.34,3.52,0.0
20230416:1510,2416.62,379.48,123.77,10.46,29.04,16.99,3.45,0.0
20230416:1610,401.4,1.82,93.29,2.39,18.57,16.36,3.03,0.0
20230416:1710,152.4,2.74,43.22,1.34,7.96,15.45,2.21,0.0
20230416:1810,0.0,0.0,0.0,0.0,0.0,14.18,1.93,0.0
20230416:1910,0.0,0.0,0.0,0.0,0.0,12.79,1.31,0.0
20230416:2010,0.0,0.0,0.0,0.0,0.0,11.18,1.31,0.0
20230416:2110,0.0,0.0,0.0,0.0,0.0,10.63,1.1,0.0
20230416:2210,0.0,0.0,0.0,0.0,0.0,11.11,0.55,0.0
20230416:2310,0.0,0.0,0.0,0.0,0.0,9.88,0.97,0.0
20230417:0010,0.0,0.0,0.0,0.0,0.0,8.27,1.31,0.0
20230417:0110,0.0,0.0,0.0,0.0,0.0,8.05,1.24,0.0
20230417:0210,0.0,0.0,0.0,0.0,0.0,7.0,1.52,0.0
20230417:0310,0.0,0.0,0.0,0.0,0.0,6.58,1.59,0.0
20230417:0410,0.0,0.0,0.0,0.0,0.0,6.38,1.52,0.0
20230417:0510,0.0,0.0,4.95,0.13,6.59,6.76,1.31,0.0
20230417:0610,97.02,0.0,31.07,0.78,17.2,8.51,0.9,0.0
20230417:0710,611.1,1.06,132.33,3.35,27.72,10.63,0.69,0.0
20230417:0810,478.08,0.0,108.29,2.73,37.71,11.91,1.24,0.0
20230417:0910,586.08,0.0,129.59,3.26,46.48,13.02,1.66,0.0
20230417:1010,664.98,0.0,145.56,3.67,52.95,14.31,1.79,0.0
20230417:1110,479.64,0.0,110.06,2.77,55.62,15.42,1.86,0.0
20230417:1210,528.9,0.0,120.71,3.04,53.62,17.64,2.41,0.0
20230417:1310,1165.08,4.74,241.05,6.15,47.62,18.2,3.52,0.0
20230417:1410,1203.54,16.06,237.11,6.24,39.11,18.16,3.52,0.0
20230417:1510,854.88,10.72,174.15,4.58,29.25,18.03,2.9,0.0
